tipo,chave_sugerida,marca,nome_ou_grupo,aliases_ou_membros,categoria,status,confianca,requer_teste_seco,justificativa,risco,decisao_revisor,motivo_revisor,acao_sugerida
novo_modelo,motorola_edge_40,Motorola,Motorola Edge 40,Edge 40|Moto Edge 40|Motorola Edge 40|Edge40,,novo,media,true,Modelo prioritario da loja ausente do catalogo,Tela pOLED com curvatura leve; pelicula especifica; NAO agrupar,aprovar,Modelo identificavel e ja separado de qualquer grupo de pelicula,aplicar_como_esta
novo_modelo,poco_c55,POCO,POCO C55,POCO C55|Poco C55|C55,,novo,media,true,Modelo prioritario ausente; gemeo de projeto do Redmi 12C,Alias C55 colide com realme_c55 existente; exigir contexto de marca,ajustar,Manter o modelo mas gravar C55 como ambiguo com contexto de marca obrigatorio,aplicar_com_ajuste
novo_modelo,poco_m5,POCO,POCO M5,POCO M5|Poco M5|M5,,novo,media,true,Modelo prioritario ausente,Alias M5 curto/ambiguo; familia de tela nao catalogada; pesquisar antes de agrupar,ajustar,Manter o modelo mas gravar M5 como ambiguo com contexto de marca obrigatorio,aplicar_com_ajuste
novo_modelo,realme_c21,Realme,Realme C21,Realme C21|C21|Realme C 21,,novo,media,true,Modelo prioritario ausente; familia C11/C20/C21,,aprovar,Modelo novo e aliases suficientemente identificaveis; grupo continua sujeito a teste,aplicar_como_esta
novo_modelo,infinix_hot_10,Infinix,Infinix Hot 10,Hot 10|Infinix Hot 10|Hot10,,novo,media,true,Linha de alto volume em loja popular; ausente do catalogo,Variantes Play/Lite/i tem frentes diferentes; catalogar variante exata,aprovar,Modelo base pode entrar sem grupo; variantes permanecem explicitamente separadas,aplicar_como_esta
novo_modelo,infinix_hot_11,Infinix,Infinix Hot 11,Hot 11|Infinix Hot 11|Hot11,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes Play/S tem frentes diferentes,aprovar,Modelo base pode entrar sem grupo; variantes permanecem explicitamente separadas,aplicar_como_esta
novo_modelo,infinix_hot_12,Infinix,Infinix Hot 12,Hot 12|Infinix Hot 12|Hot12,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes Play/i/Pro tem frentes diferentes,aprovar,Modelo base pode entrar sem grupo; variantes permanecem explicitamente separadas,aplicar_como_esta
novo_modelo,infinix_hot_20,Infinix,Infinix Hot 20,Hot 20|Infinix Hot 20|Hot20,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes 5G/i/Play tem frentes diferentes,aprovar,Modelo base pode entrar sem grupo; variantes permanecem explicitamente separadas,aplicar_como_esta
novo_modelo,infinix_hot_30,Infinix,Infinix Hot 30,Hot 30|Infinix Hot 30|Hot30,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes i/Play tem frentes diferentes,aprovar,Modelo base pode entrar sem grupo; variantes permanecem explicitamente separadas,aplicar_como_esta
novo_modelo,infinix_hot_40,Infinix,Infinix Hot 40,Hot 40|Infinix Hot 40|Hot40,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes i/Pro tem frentes diferentes,aprovar,Modelo base pode entrar sem grupo; variantes permanecem explicitamente separadas,aplicar_como_esta
novo_modelo,infinix_smart_8,Infinix,Infinix Smart 8,Smart 8|Infinix Smart 8|Smart8,,novo,media,true,Sucessor direto do Smart 7 ja catalogado,Variante HD tem frente propria,aprovar,Modelo base pode entrar sem grupo; Smart 8 HD continua fora de qualquer agrupamento,aplicar_como_esta
novo_modelo,tecno_spark_10,Tecno,Tecno Spark 10,Spark 10|Tecno Spark 10|Spark10,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes Pro/C tem frentes diferentes,aprovar,Modelo base pode entrar sem grupo; variantes permanecem explicitamente separadas,aplicar_como_esta
nova_relacao,pelicula_p001,Apple,iPhone 7 / 8 / SE 2020 / SE 2022,apple_iphone_se_2020|apple_iphone_se_2022|apple_iphone_8|apple_iphone_7,pelicula_tela,provavel_mercado,media,true,SE 2020/2022 usam a mesma frente 4.7 do iPhone 8; pratica de mercado consolidada,Confirmar sensor/alto-falante no molde 3D,aprovar,Relacao consolidada e mantida como provavel_mercado com teste seco,aplicar_como_esta
nova_relacao,pelicula_p002,Apple,iPhone 12 Mini / 13 Mini,apple_iphone_12_mini|apple_iphone_13_mini,pelicula_tela,precisa_testar,baixa,true,Ambos 5.4; mercado costuma vender a mesma pelicula,Notch do 13 Mini e menor; testar seco,ajustar,Manter somente para teste seco e reforcar diferenca de notch nas notas,aplicar_com_ajuste
nova_relacao,pelicula_p003,Apple,iPhone 14 Pro Max / 15 Plus / 15 Pro Max,apple_iphone_14_pro_max|apple_iphone_15_plus|apple_iphone_15_pro_max,pelicula_tela,precisa_testar,baixa,true,Frentes 6.7 com Dynamic Island,Bordas do 15 Pro Max sao mais finas; molde pode variar,rejeitar,Grupo mistura geracoes com molduras e recortes distintos sem evidencia minima de molde comum,rejeitar_por_risco
nova_relacao,pelicula_p004,Apple,iPhone 15 / 16,apple_iphone_15|apple_iphone_16,pelicula_tela,precisa_testar,baixa,true,Frentes 6.1 com Dynamic Island,Bordas do 16 levemente mais finas,ajustar,Manter apenas como candidato de teste fisico com alerta de molduras distintas,aplicar_com_ajuste
nova_relacao,pelicula_p005,Apple,iPhone 15 Plus / 16 Plus,apple_iphone_15_plus|apple_iphone_16_plus,pelicula_tela,precisa_testar,baixa,true,Frentes 6.7 com Dynamic Island,Bordas do 16 Plus levemente mais finas,ajustar,Manter apenas como candidato de teste fisico com alerta de molduras distintas,aplicar_com_ajuste
nova_relacao,pelicula_p006,Samsung,A22 4G / M22 / M32 / A31,samsung_galaxy_a22_4g|samsung_galaxy_m22|samsung_galaxy_m32|samsung_galaxy_a31,pelicula_tela,precisa_testar,baixa,true,Paineis 6.4 AMOLED Infinity-U semelhantes; tabelas de mercado agrupam,NAO incluir A22 5G (tela TFT 6.6 diferente),ajustar,Separar A22 4G/M22 para teste e exigir evidencia fisica antes de incluir M32 ou A31,aplicar_com_ajuste
nova_relacao,pelicula_p007,Samsung,A15 / A25,samsung_galaxy_a15|samsung_galaxy_a25,pelicula_tela,precisa_testar,baixa,true,Ambos 6.5 AMOLED punch central,Bordas e curva 2.5D podem variar; testar seco,ajustar,Manter requer_teste_seco e rebaixar qualquer leitura de compatibilidade forte,aplicar_com_ajuste
nova_relacao,pelicula_p008,Motorola,E32s junta ao grupo do E32/G22,motorola_moto_e32s|motorola_moto_e32,pelicula_tela,provavel_mercado,media,true,E32s e gemeo de tela do E32 ja agrupado,,aprovar,Par de tela gemea com escopo limitado e teste seco preservado,aplicar_como_esta
nova_relacao,pelicula_p009,Motorola,E13 junta ao grupo do G13/G23,motorola_moto_e13|motorola_moto_g13,pelicula_tela,provavel_mercado,media,true,Tabelas de mercado agrupam G13/G23/E13 (frente 6.5 punch),,ajustar,Rebaixar para precisa_testar e validar recorte frontal antes de afirmar grupo consolidado,aplicar_com_ajuste
nova_relacao,pelicula_p010,Motorola,G42 / G31,motorola_moto_g42|motorola_moto_g31,pelicula_tela,precisa_testar,baixa,true,Ambos 6.4 AMOLED punch central,Molduras podem variar; testar seco,aprovar,Relacao limitada e ja marcada para teste seco com baixa confianca,manter_para_teste_fisico
nova_relacao,pelicula_p011,Motorola,Edge 20 / Edge 20 Pro,motorola_edge_20|motorola_edge_20_pro,pelicula_tela,precisa_testar,baixa,true,Ambos 6.7 planos,Edge 20 Lite fica de fora (frente propria),aprovar,Escopo exclui a variante Lite e mantem teste seco obrigatorio,manter_para_teste_fisico
nova_relacao,pelicula_p012,Motorola,G72 e Edge 30 juntam ao grupo do G52,motorola_moto_g72|motorola_edge_30|motorola_moto_g52,pelicula_tela,precisa_testar,baixa,true,Familia de painel 6.6 pOLED punch central,Testar seco por modelo; bordas variam,rejeitar,Mistura aparelhos de 6.5 e 6.6 polegadas e molduras distintas sem evidência de molde comum,rejeitar_por_risco
nova_relacao,pelicula_p013,Motorola,G73 junta ao grupo do G53,motorola_moto_g73|motorola_moto_g53,pelicula_tela,precisa_testar,baixa,true,Ambos 6.5 LCD punch central,,aprovar,Par restrito e explicitamente condicionado a teste seco,manter_para_teste_fisico
nova_relacao,pelicula_p014,Redmi,Redmi 9 junta ao grupo do 9A/9C,redmi_9|redmi_9a,pelicula_tela,precisa_testar,baixa,true,Frente 6.53 waterdrop compartilhada,Bordas do Redmi 9 diferem levemente; testar seco,aprovar,Relacao limitada e honesta sobre a variacao de bordas; manter teste seco,manter_para_teste_fisico
nova_relacao,pelicula_p015,Redmi,Note 11S junta ao grupo do Note 11,redmi_note_11s|redmi_note_11,pelicula_tela,provavel_mercado,media,true,Mesmo painel 6.43 AMOLED punch; mercado consolidado,,aprovar,Mesmo painel declarado e relacao de mercado conservadora,aplicar_como_esta
nova_relacao,pelicula_p016,Redmi,Note 12 / Note 12 4G,redmi_note_12|redmi_note_12_4g,pelicula_tela,provavel_mercado,media,true,Mesma frente 6.67 punch central,,ajustar,Explicitar a variante de redmi_note_12 e rebaixar para teste seco se representar o 5G,aplicar_com_ajuste
nova_relacao,pelicula_p017,Redmi,Note 12 Pro junta ao Note 12,redmi_note_12_pro|redmi_note_12,pelicula_tela,precisa_testar,baixa,true,Frente 6.67 plana em ambos,Versoes Pro tem molduras proprias; testar seco,ajustar,Exigir teste fisico por variante antes de vincular a familia Note 12,aplicar_com_ajuste
nova_relacao,pelicula_p018,Redmi,Note 13 4G junta ao grupo do Note 13,redmi_note_13_4g|redmi_note_13,pelicula_tela,precisa_testar,baixa,true,Frentes 6.67 semelhantes entre 4G e 5G,,ajustar,Identificar explicitamente a variante do Note 13 e manter baixa confianca ate teste fisico,aplicar_com_ajuste
nova_relacao,pelicula_p019,POCO,X3 NFC junta ao grupo do X3/X3 Pro,poco_x3_nfc|poco_x3,pelicula_tela,provavel_mercado,media,true,X3/X3 NFC/X3 Pro compartilham a mesma frente; mercado consolidado,X3 GT fica de fora (frente diferente),aprovar,Relacao de mercado consolidada e X3 GT fica corretamente excluido,aplicar_como_esta
nova_relacao,pelicula_p020,POCO,C55 / Redmi 12C,poco_c55|redmi_12c,pelicula_tela,provavel_mercado,media,true,Gemeos de projeto,Depende da aprovacao do novo modelo poco_c55,aprovar,Gemeos de projeto declarados; depende somente do cadastro ajustado do POCO C55,aplicar_como_esta
nova_relacao,pelicula_p021,Realme,C21 / C11,realme_c21|realme_c11,pelicula_tela,provavel_mercado,media,true,Familia C11/C20/C21 com mesma frente 6.5 waterdrop,Depende da aprovacao do novo modelo realme_c21,aprovar,Familia limitada e modelo novo aprovado; manter a dependencia registrada,manter_para_teste_fisico
nova_relacao,pelicula_p022,Realme,C30 / C30s,realme_c30|realme_c30s,pelicula_tela,provavel_mercado,media,true,Gemeos de tela,,aprovar,Relacao de gemeos de tela sem expansao para outras variantes,manter_para_teste_fisico
nova_relacao,pelicula_p023,Realme,C33 / C30,realme_c33|realme_c30,pelicula_tela,precisa_testar,baixa,true,Frentes 6.5 waterdrop semelhantes,Molduras podem variar,aprovar,Ja limitada a precisa_testar e baixa confianca; exigir teste seco,manter_para_teste_fisico
nova_relacao,pelicula_p024,Tecno,Spark 20 / Spark 20C,tecno_spark_20|tecno_spark_20c,pelicula_tela,precisa_testar,baixa,true,Frentes 6.6 punch semelhantes,Verificar molde; linha Tecno tem variacoes silenciosas,ajustar,Manter apenas para teste fisico por variante e sem promover compatibilidade,aplicar_com_ajuste
revisao,rev_p001,Motorola,Duplicatas one_fusion/one_macro/one_zoom,motorola_one_fusion|motorola_moto_one_fusion|motorola_one_macro|motorola_moto_one_macro|motorola_one_zoom|motorola_moto_one_zoom,,revisar,baixa,false,Mesmos aparelhos com duas chaves no seed de modelos; unificar chave canonica e migrar aliases,Busca retorna o mesmo aparelho duplicado,aprovar,Item de fila correto; investigar e preservar aliases antes de qualquer consolidacao,aplicar_como_esta
revisao,rev_p002,Redmi,redmi_x5 suspeito,redmi_x5|poco_x5,,revisar,baixa,false,Redmi X5 nao e modelo do mercado BR; provavel confusao com POCO X5,Alias X5 colide entre os dois registros,aprovar,Item de fila correto para validar a chave suspeita sem criar compatibilidade,aplicar_como_esta
revisao,rev_p003,Samsung,A22 4G x A22 5G,samsung_galaxy_a22_4g|samsung_galaxy_a22_5g,,revisar,alta,true,Telas diferentes (AMOLED 6.4 x TFT 6.6); NUNCA agrupar automaticamente,Sufixo 4G/5G confunde operador no balcao,aprovar,Regra explicita de nao agrupamento reduz o risco de venda errada,manter_para_teste_fisico
revisao,rev_p004,Samsung,A32 4G x A32 5G,samsung_galaxy_a32_4g|samsung_galaxy_a32_5g,,revisar,alta,true,Telas diferentes (AMOLED 6.4 x TFT 6.5); NUNCA agrupar automaticamente,,aprovar,Regra explicita de nao agrupamento reduz o risco de venda errada,manter_para_teste_fisico
revisao,rev_p005,Redmi,Note 14 Pro / Pro+ tela curva,redmi_note_14_pro|redmi_note_14_pro_plus,,revisar,alta,true,Telas curvas exigem pelicula especifica; nao agrupar com Note 14 plano,Erro de agrupamento aqui e caro (pelicula 3D nao adere),aprovar,Registro de risco necessario; manter somente para fornecedor ou teste fisico,manter_para_teste_fisico
revisao,rev_p006,Motorola,Edge 40 tela curva,motorola_edge_40,,revisar,alta,true,pOLED com curvatura; pelicula especifica; nao agrupar,Depende da aprovacao do novo modelo,aprovar,Registro de risco necessario e compativel com o cadastro do modelo sem grupo,manter_para_teste_fisico
revisao,rev_p007,Samsung,S21-S24 base/Plus/Ultra sem grupo,samsung_galaxy_s21|samsung_galaxy_s22|samsung_galaxy_s23|samsung_galaxy_s24,,revisar,media,true,Flagships de alta demanda sem nenhum grupo; pesquisar fornecedor e vender pelicula especifica por modelo ate la,Ultras antigos tem curvatura,aprovar,Fila nao cria grupo e direciona pesquisa de fornecedor por modelo,manter_para_teste_fisico
revisao,rev_p008,Apple,iPhone 12 Pro Max sem grupo,apple_iphone_12_pro_max,,revisar,media,true,Sem relacao no seed; pesquisar fornecedor (frente 6.7 propria da geracao 12),,aprovar,Fila conservadora sem sugerir agrupamento,manter_para_teste_fisico
